Date,Weekly Mean Price,Weekly Max Price
2022-01-21,84.57285714285716,86.84
2022-01-24,84.85428571428572,86.84
2022-01-25,85.51714285714287,86.84
2022-01-26,86.16142857142859,88.33
2022-01-27,86.47428571428573,88.33
2022-01-28,86.59285714285714,88.33
2022-01-31,87.00285714285714,89.16
2022-02-01,87.44000000000001,89.16
2022-02-02,87.96571428571428,89.16
2022-02-03,88.4742857142857,90.17
2022-02-04,89.03714285714284,92.27
2022-02-07,89.55714285714285,92.27
2022-02-08,89.79285714285713,92.27
2022-02-09,89.85142857142857,92.27
2022-02-10,90.08142857142857,92.27
2022-02-11,90.78714285714285,93.1
2022-02-14,91.55142857142856,95.52
2022-02-15,91.52285714285712,95.52
2022-02-16,91.89142857142856,95.52
2022-02-17,92.24285714285713,95.52
2022-02-18,92.48428571428572,95.52
2022-02-22,92.80999999999999,95.52
2022-02-23,92.67285714285713,95.52
2022-02-24,92.27999999999999,93.83
2022-02-25,92.2242857142857,93.83
2022-02-28,92.55285714285715,96.13
2022-03-01,94.24999999999999,103.66
2022-03-02,97.03285714285714,110.74
2022-03-03,99.25857142857141,110.74
2022-03-04,102.63428571428572,115.77
2022-03-07,106.41857142857144,119.26
2022-03-08,110.98428571428572,123.64
2022-03-09,112.79571428571428,123.64
2022-03-10,113.12000000000002,123.64
2022-03-11,112.91571428571426,123.64
2022-03-14,112.27714285714286,123.64
2022-03-15,109.51285714285714,123.64
2022-03-16,106.02571428571427,123.64
2022-03-17,103.07285714285715,109.31
2022-03-18,102.48428571428573,109.31
2022-03-21,103.37142857142858,112.14
2022-03-22,103.61714285714287,112.14
2022-03-23,105.28428571428572,114.89
2022-03-24,107.82428571428571,114.89
2022-03-25,110.87428571428573,116.2
2022-03-28,111.52857142857144,116.2
2022-03-29,111.46571428571428,116.2
2022-03-30,110.84714285714287,116.2
2022-03-31,109.34714285714287,116.2
2022-04-01,107.12285714285713,116.2
2022-04-04,105.56428571428572,116.2
2022-04-05,103.53285714285714,107.81
2022-04-06,101.93857142857144,107.81
2022-04-07,100.76714285714284,107.81
2022-04-08,99.41571428571429,103.29
2022-04-11,98.51428571428572,103.29
2022-04-12,98.6857142857143,103.29
2022-04-13,98.82428571428571,104.26
2022-04-14,99.51857142857143,106.84
2022-04-18,101.21142857142857,108.24
2022-04-19,102.13857142857141,108.24
2022-04-20,102.74000000000001,108.24
2022-04-21,104.12142857142858,108.24
2022-04-22,104.4557142857143,108.24
2022-04-25,103.79,108.24
2022-04-26,103.18714285714286,108.24
2022-04-27,102.29,103.89
2022-04-28,102.70857142857143,105.47
2022-04-29,102.99857142857142,105.47
2022-05-02,103.18285714285715,105.47
2022-05-03,103.13571428571429,105.47
2022-05-04,104.31285714285714,107.84
2022-05-05,105.10571428571428,108.17
2022-05-06,106.21428571428571,109.72
2022-05-09,105.87285714285714,109.72
2022-05-10,105.18000000000002,109.72
2022-05-11,105.22571428571429,109.72
2022-05-12,105.74285714285713,109.72
2022-05-13,106.12571428571428,110.52
2022-05-16,106.96857142857142,114.07
2022-05-17,107.33857142857141,114.07
2022-05-18,108.27999999999999,114.07
2022-05-19,110.06142857142856,114.07
2022-05-20,111.08000000000001,114.07
2022-05-23,111.67571428571429,114.07
2022-05-24,111.96571428571428,114.07
2022-05-25,111.79571428571428,112.88
2022-05-26,112.35000000000001,116.19
2022-05-27,113.10571428571428,116.19
2022-05-31,113.41571428571429,116.19
2022-06-01,113.79142857142857,116.19
2022-06-02,114.72857142857143,116.88
2022-06-03,115.64571428571428,118.97
2022-06-06,116.43571428571428,118.97
2022-06-07,116.91571428571426,119.55
2022-06-08,117.91285714285712,121.94
2022-06-09,118.93285714285715,121.94
2022-06-10,119.71428571428571,121.94
2022-06-13,120.29142857142857,121.94
2022-06-14,120.2842857142857,121.94
2022-06-15,119.84285714285713,121.94
2022-06-16,119.55857142857141,121.94
2022-06-17,117.78999999999999,121.52
2022-06-21,116.21428571428571,120.92
2022-06-22,114.14142857142858,120.92
2022-06-23,111.97428571428573,118.92
2022-06-24,110.56714285714285,117.56
2022-06-27,110.01285714285716,117.56
2022-06-28,109.45571428571428,113.66
2022-06-29,109.75428571428571,113.66
2022-06-30,109.36428571428571,113.66
2022-07-01,109.94714285714284,113.66
2022-07-05,109.34714285714283,113.66
2022-07-06,108.09571428571427,113.66
2022-07-07,107.12142857142858,113.66
2022-07-08,106.13857142857144,111.65
2022-07-11,105.3442857142857,110.3
2022-07-12,103.90571428571427,110.3
2022-07-13,102.21142857142857,106.78
2022-07-14,101.67428571428572,106.78
2022-07-15,101.57142857142857,106.78
2022-07-18,101.55142857142857,106.78
2022-07-19,101.45714285714287,106.12
2022-07-20,101.22285714285715,106.12
2022-07-21,101.33000000000003,106.12
2022-07-22,101.2257142857143,106.12
2022-07-25,101.51714285714286,106.12
2022-07-26,101.25285714285714,106.12
2022-07-27,100.61714285714285,106.12
2022-07-28,99.61571428571428,104.45
2022-07-29,99.16714285714286,101.31
2022-08-01,98.90285714285714,101.31
2022-08-02,98.82142857142857,101.31
2022-08-03,97.88142857142857,101.31
2022-08-04,96.96,101.31
2022-08-05,95.77999999999999,101.31
2022-08-08,94.98142857142857,101.31
2022-08-09,93.82000000000001,97.14
2022-08-10,93.54714285714284,97.14
2022-08-11,93.53,97.02
2022-08-12,93.76,97.02
2022-08-15,93.89571428571428,97.02
2022-08-16,93.53285714285714,97.02
2022-08-17,93.15142857142858,97.02
2022-08-18,93.15428571428572,97.02
2022-08-19,92.99285714285715,97.02
2022-08-22,92.47857142857141,94.86
2022-08-23,92.70714285714287,96.46
2022-08-24,93.17571428571429,96.46
2022-08-25,93.76142857142858,96.46
2022-08-26,94.15857142857143,96.46
2022-08-29,94.75857142857141,97.4
2022-08-30,94.54857142857144,97.4
2022-08-31,94.07285714285716,97.4
2022-09-01,92.73428571428572,97.4
2022-09-02,91.55857142857143,97.4
2022-09-06,90.70428571428572,97.4
